month,category1,gender,agegroup,trend_index,season,trend_mean,trend_std,Trend_Sensitivity
2023-07,의류,남성,10대,66.7657,여름,63.80933368421053,16.696455108639146,0.1770655086096552
2023-08,의류,남성,10대,70.16792,여름,63.80933368421053,16.696455108639146,0.3808345109435464
2023-09,의류,남성,10대,89.74594,가을,63.80933368421053,16.696455108639146,1.553419941360442
2023-10,의류,남성,10대,100.0,가을,63.80933368421053,16.696455108639146,2.167565874331226
2023-11,의류,남성,10대,96.82038,가을,63.80933368421053,16.696455108639146,1.9771290433206248
2023-12,의류,남성,10대,71.14586,겨울,63.80933368421053,16.696455108639146,0.439406225336621
2024-01,의류,남성,10대,52.06166,겨울,63.80933368421053,16.696455108639146,-0.7036028670620027
2024-02,의류,남성,10대,64.54207,겨울,63.80933368421053,16.696455108639146,0.0438857416752093
2024-03,의류,남성,10대,60.83214,봄,63.80933368421053,16.696455108639146,-0.1783129212062538
2024-04,의류,남성,10대,64.23073,봄,63.80933368421053,16.696455108639146,0.0252386697084834
2024-05,의류,남성,10대,57.69902,봄,63.80933368421053,16.696455108639146,-0.3659647299053862
2024-06,의류,남성,10대,48.80073,여름,63.80933368421053,16.696455108639146,-0.8989095940757338
2024-07,의류,남성,10대,48.26224,여름,63.80933368421053,16.696455108639146,-0.9311613503016032
2024-08,의류,남성,10대,47.15376,여름,63.80933368421053,16.696455108639146,-0.9975514907707886
2024-09,의류,남성,10대,61.51525,가을,63.80933368421053,16.696455108639146,-0.1373994461269514
2024-10,의류,남성,10대,62.74745,가을,63.80933368421053,16.696455108639146,-0.0635993495206706
2024-11,의류,남성,10대,62.88041,가을,63.80933368421053,16.696455108639146,-0.0556359824984576
2024-12,의류,남성,10대,49.88453,겨울,63.80933368421053,16.696455108639146,-0.83399761168498
2025-01,의류,남성,10대,37.12155,겨울,63.80933368421053,16.696455108639146,-1.5984101721329835
2023-07,의류,남성,20대,63.86299,여름,61.50409052631579,16.107080973221912,0.1464510843153946
2023-08,의류,남성,20대,64.89806,여름,61.50409052631579,16.107080973221912,0.2107128833167658
2023-09,의류,남성,20대,73.38699,가을,61.50409052631579,16.107080973221912,0.7377438217042289
2023-10,의류,남성,20대,94.46039,가을,61.50409052631579,16.107080973221912,2.046075234145417
2023-11,의류,남성,20대,100.0,가을,61.50409052631579,16.107080973221912,2.389999127569037
2023-12,의류,남성,20대,80.07962,겨울,61.50409052631579,16.107080973221912,1.1532523804012724
2024-01,의류,남성,20대,59.09413,겨울,61.50409052631579,16.107080973221912,-0.1496211840197713
